 Date,City,NH3,PM2,PM10,SO2,NOx,CO,O3,AQI,AQI_bucket
2019-01-01 00:00:00, Ghaziabad,71.92,327.5,501.99,20.23,141.46,3.35,17.66,490.0,Severe
2019-02-01 00:00:00, Ghaziabad,78.02,387.45,569.04,21.29,176.59,4.06,9.32,574.0,Severe
2019-03-01 00:00:00, Ghaziabad,74.85,399.51,527.45,18.03,133.11,3.52,21.91,522.0,Severe
2019-04-01 00:00:00, Ghaziabad,66.06,313.46,428.54,19.64,91.64,1.89,8.96,449.0,Severe
2019-05-01 00:00:00, Ghaziabad,64.06,251.39,351.39,18.55,63.92,2.23,6.42,401.0,Severe
2019-06-01 00:00:00, Ghaziabad,62.64,213.54,267.79,17.49,64.79,1.73,17.56,372.0,Very Poor
2019-07-01 00:00:00, Ghaziabad,64.39,213.46,287.14,39.68,76.55,1.64,29.59,372.0,Very Poor
2019-08-01 00:00:00, Ghaziabad,54.81,147.61,206.41,15.19,59.15,1.14,8.5,321.0,Very Poor
2019-09-01 00:00:00, Ghaziabad,47.06,137.48,213.11,18.13,55.94,1.19,10.58,313.0,Very Poor
2019-10-01 00:00:00, Ghaziabad,50.95,213.55,288.55,16.78,105.84,1.27,5.63,372.0,Very Poor
2019-11-01 00:00:00, Ghaziabad,59.74,328.11,369.28,32.27,126.89,2.48,7.47,460.0,Severe
2019-12-01 00:00:00, Ghaziabad,67.41,413.83,488.03,10.97,181.13,2.69,10.72,526.0,Severe
2019-01-13 00:00:00, Ghaziabad,66.66,315.1,423.11,39.15,97.1,4.66,20.85,450.0,Severe
2019-01-14 00:00:00, Ghaziabad,42.17,86.75,155.59,23.77,45.0,1.1,18.35,189.0,Moderate
2019-01-15 00:00:00, Ghaziabad,40.58,129.21,206.87,15.31,69.58,0.93,13.87,307.0,Very Poor
2019-01-16 00:00:00, Ghaziabad,54.89,294.98,429.2,26.01,146.26,3.85,18.94,435.0,Severe
2019-01-17 00:00:00, Ghaziabad,62.39,394.61,532.09,34.53,120.38,4.88,7.89,528.0,Severe
2019-01-18 00:00:00, Ghaziabad,53.41,246.09,338.44,22.65,93.72,1.82,18.23,397.0,Very Poor
2019-01-19 00:00:00, Ghaziabad,55.72,275.6,430.15,19.38,159.61,3.1,13.66,420.0,Severe
2019-01-20 00:00:00, Ghaziabad,68.99,353.86,547.28,22.11,207.17,6.65,38.36,547.0,Severe
2019-01-21 00:00:00, Ghaziabad,65.04,160.95,253.99,14.35,58.05,3.02,6.92,332.0,Very Poor
2019-01-22 00:00:00, Ghaziabad,47.81,50.42,62.82,13.03,37.93,0.79,17.3,84.0,Satisfactory
2019-01-23 00:00:00, Ghaziabad,46.67,180.02,247.01,22.06,86.14,1.52,11.52,346.0,Very Poor
2019-01-24 00:00:00, Ghaziabad,45.62,133.03,207.29,26.64,53.53,1.66,19.05,310.0,Very Poor
2019-01-25 00:00:00, Ghaziabad,38.5,88.41,129.72,40.13,37.93,0.83,16.47,195.0,Moderate
2019-01-26 00:00:00, Ghaziabad,36.14,116.56,177.06,71.04,39.86,1.17,61.99,289.0,Poor
2019-01-27 00:00:00, Ghaziabad,36.14,120.06,182.23,31.46,45.13,0.84,20.06,300.0,Poor
2019-01-28 00:00:00, Ghaziabad,35.85,112.91,182.12,26.25,45.39,1.02,9.35,276.0,Poor
2019-01-29 00:00:00, Ghaziabad,38.61,139.32,220.21,23.36,58.53,1.06,9.65,315.0,Very Poor
2019-01-30 00:00:00, Ghaziabad,43.15,209.98,330.93,24.57,98.93,1.49,5.56,369.0,Very Poor
2019-01-31 00:00:00, Ghaziabad,45.84,200.69,313.25,19.67,75.41,3.41,12.26,362.0,Very Poor
2019-01-02 00:00:00, Ghaziabad,47.83,190.44,247.15,16.0,43.34,1.31,18.17,354.0,Very Poor
2019-02-02 00:00:00, Ghaziabad,51.31,216.71,279.83,15.41,48.32,1.12,16.65,374.0,Very Poor
2019-03-02 00:00:00, Ghaziabad,50.9,161.48,229.27,12.5,57.7,1.06,13.78,332.0,Very Poor
2019-04-02 00:00:00, Ghaziabad,53.25,226.45,344.59,23.11,136.64,1.99,7.12,382.0,Very Poor
2019-05-02 00:00:00, Ghaziabad,62.43,309.09,465.29,20.11,205.22,5.29,40.18,445.0,Severe
2019-06-02 00:00:00, Ghaziabad,61.64,187.25,240.94,11.49,56.69,2.27,7.72,352.0,Very Poor
2019-07-02 00:00:00, Ghaziabad,48.22,66.06,89.59,11.02,32.42,0.62,13.97,120.0,Moderate
2019-08-02 00:00:00, Ghaziabad,39.4,104.58,182.28,22.66,60.89,0.93,12.07,249.0,Poor
2019-09-02 00:00:00, Ghaziabad,35.55,78.21,158.96,17.57,53.52,0.75,9.98,161.0,Moderate
2019-10-02 00:00:00, Ghaziabad,38.77,128.21,232.36,26.44,71.92,1.15,15.77,306.0,Very Poor
2019-11-02 00:00:00, Ghaziabad,45.73,200.94,341.76,39.9,103.59,2.02,41.4,362.0,Very Poor
2019-12-02 00:00:00, Ghaziabad,51.07,239.22,378.86,34.94,107.61,2.23,22.72,392.0,Very Poor
2019-02-13 00:00:00, Ghaziabad,49.0,196.52,319.85,28.92,95.16,1.68,14.87,359.0,Very Poor
2019-02-14 00:00:00, Ghaziabad,46.61,161.07,205.59,10.28,46.51,1.59,8.82,332.0,Very Poor
2019-02-15 00:00:00, Ghaziabad,41.72,127.26,169.11,29.98,55.23,1.04,8.9,306.0,Very Poor
2019-02-16 00:00:00, Ghaziabad,38.12,132.35,179.55,11.52,50.09,0.94,13.77,310.0,Very Poor
2019-02-17 00:00:00, Ghaziabad,37.26,119.19,179.01,15.24,58.39,1.05,6.07,297.0,Poor
2019-02-18 00:00:00, Ghaziabad,36.78,104.43,194.25,12.44,58.09,1.28,9.77,248.0,Poor
2019-02-19 00:00:00, Ghaziabad,41.88,126.84,211.68,12.01,63.64,1.11,7.39,305.0,Very Poor
2019-02-20 00:00:00, Ghaziabad,41.24,88.19,140.98,5.98,54.15,1.82,5.74,194.0,Moderate
2019-02-21 00:00:00, Ghaziabad,40.87,79.55,187.05,15.43,67.13,0.84,5.76,165.0,Moderate
2019-02-22 00:00:00, Ghaziabad,39.68,84.05,166.4,16.99,61.52,2.3,32.95,180.0,Moderate
2019-02-23 00:00:00, Ghaziabad,32.27,57.24,127.67,28.94,36.87,0.89,45.67,118.0,Moderate
2019-02-24 00:00:00, Ghaziabad,31.86,84.01,163.27,20.89,46.9,0.95,14.75,180.0,Moderate
